sector,area_m2,pisos,habitaciones,banos,antiguedad,garaje,precio
Tumbaco,224.9,3,3,2,5,1,305439.97
Cumbaya,126.9,3,1,4,27,1,185991.72
Carapungo,132.8,2,3,3,6,0,63072.41
Centro Historico,157.8,2,3,2,13,1,124168.91
Cumbaya,73.1,2,5,1,0,0,100451.67
Centro Historico,130.8,2,3,2,4,0,109811.98
La Carolina,120.8,1,2,2,3,1,151326.6
Calderon,142.7,2,5,2,3,0,122396.08
Centro Norte,96.0,2,4,3,11,1,146266.62
Centro Historico,162.4,1,4,2,5,1,137958.81
Quitumbe,99.1,1,4,3,0,1,80416.03
Conocoto,113.2,2,1,3,10,1,116879.68
Quitumbe,202.2,2,4,2,10,1,131787.63
Calderon,197.6,1,2,4,4,0,154799.79
La Carolina,124.1,2,3,2,9,1,190681.58
Gonzalez Suarez,245.0,1,4,3,4,1,574444.08
Carapungo,173.7,2,4,2,1,1,155925.17
La Carolina,74.7,2,3,3,1,1,100806.7
Conocoto,145.4,1,2,1,1,1,153841.56
Cumbaya,55.3,2,4,3,3,1,109182.71
Tumbaco,124.3,2,4,3,3,1,133085.16
Conocoto,96.2,1,2,3,4,1,111747.76
Centro Historico,98.5,1,3,2,0,0,63729.93
La Carolina,122.8,1,4,2,8,0,148911.98
Quitumbe,167.3,2,5,2,28,1,113900.48
Quitumbe,114.0,2,2,2,9,1,70931.46
Carapungo,84.6,2,2,3,6,1,51143.67
Tumbaco,213.3,1,4,2,0,1,284175.45
Conocoto,72.8,1,3,3,1,1,62635.98
Centro Historico,74.3,2,3,1,19,1,71831.07
Tumbaco,119.7,1,3,1,5,1,110954.96
Centro Historico,240.1,1,2,3,3,1,223881.65
Quitumbe,197.9,1,2,4,7,0,103951.81
Tumbaco,73.2,1,2,4,5,1,70194.92
Cumbaya,121.1,2,4,2,4,1,225956.42
Tumbaco,204.5,2,1,2,7,1,276859.19
Quitumbe,98.2,2,1,2,0,1,90754.01
Quitumbe,60.7,1,3,2,6,0,35671.49
Conocoto,184.5,2,4,3,0,1,209025.31
Tumbaco,228.8,2,3,2,9,1,271871.5
Conocoto,137.0,2,3,2,14,1,145949.1
Carapungo,96.4,3,2,4,0,1,87577.83
Gonzalez Suarez,79.1,3,4,3,30,1,123845.04
Centro Norte,90.3,2,2,2,14,1,102627.17
Calderon,102.2,1,3,3,16,1,59736.82
Centro Norte,164.1,1,2,3,12,1,164896.42
Quitumbe,118.7,2,2,4,17,1,78751.64
Quitumbe,172.8,3,2,1,3,1,144981.25
Conocoto,126.6,3,4,1,11,1,110111.87
Conocoto,114.5,1,3,4,1,1,105555.0
La Carolina,96.3,1,4,1,0,1,162386.65
Conocoto,110.7,1,4,2,1,0,98681.06
La Carolina,141.6,2,4,3,0,1,293883.37
Quitumbe,124.0,2,4,2,6,1,113241.63
Centro Norte,146.8,2,4,3,11,1,251165.3
Centro Norte,188.6,2,5,2,0,1,293632.9
Conocoto,57.5,3,4,2,1,1,52073.37
Tumbaco,122.4,2,2,3,3,1,140038.4
Gonzalez Suarez,172.5,2,2,1,0,1,345111.99
Calderon,85.4,1,4,2,3,1,74398.2
Conocoto,160.1,2,2,2,13,1,143226.2
Gonzalez Suarez,167.8,2,3,2,3,1,339957.9
Gonzalez Suarez,148.0,3,2,3,14,1,276880.09
Centro Historico,213.7,2,2,2,4,1,183901.66
Cumbaya,93.9,2,3,2,1,1,168654.41
Centro Norte,232.0,1,2,1,3,1,263702.99
Gonzalez Suarez,155.4,1,3,2,18,1,244138.42
Centro Norte,164.2,1,5,3,2,1,200158.33
Centro Norte,91.4,2,3,3,9,1,102504.8
Quitumbe,93.8,1,3,3,8,1,70114.74
Centro Norte,128.6,2,5,2,12,1,189559.94
Calderon,151.6,3,3,1,10,1,89038.88
Quitumbe,229.7,2,2,1,1,1,179269.8
La Carolina,74.8,3,3,3,8,1,117572.63
Cumbaya,160.4,2,2,2,5,1,224438.62
La Carolina,188.7,3,4,1,2,0,280160.27
Conocoto,153.9,2,3,2,22,1,142092.69
Cumbaya,166.7,1,3,2,7,1,210706.99
Centro Norte,119.9,1,5,3,6,1,152834.82
Calderon,107.3,2,2,3,0,1,81715.1
Carapungo,80.4,2,4,2,6,1,51323.71
Tumbaco,208.2,2,2,3,8,1,282529.99
Centro Norte,45.0,2,2,2,22,1,43629.95
Gonzalez Suarez,137.1,1,5,2,3,0,284167.91
Gonzalez Suarez,223.4,2,3,2,0,1,426895.59
Cumbaya,89.5,1,4,1,5,1,144109.64
Gonzalez Suarez,183.0,2,3,1,9,1,431675.45
Centro Norte,94.4,1,3,1,7,1,109173.95
Gonzalez Suarez,124.0,2,4,2,13,1,248528.92
Tumbaco,129.9,3,1,2,4,1,162218.36
Cumbaya,230.8,2,3,2,4,1,539491.34
Calderon,115.4,2,1,4,5,0,83323.25
Quitumbe,168.0,1,3,2,12,1,115558.27
Carapungo,184.8,2,2,4,5,1,120395.83
Gonzalez Suarez,118.4,1,2,2,13,1,176572.11
Tumbaco,147.9,2,1,2,4,1,218894.65
Cumbaya,63.2,2,4,4,7,1,90630.35
Calderon,126.1,2,1,3,11,1,74396.33
Centro Historico,228.7,2,3,2,11,1,163381.65
Cumbaya,156.6,1,3,2,15,0,243964.12
La Carolina,130.2,1,3,2,13,1,196109.35
Carapungo,140.3,1,2,2,1,0,79000.54
Carapungo,196.8,2,2,2,31,0,97496.09
Gonzalez Suarez,157.8,1,2,1,7,1,334923.49
Calderon,156.7,2,2,3,6,1,99793.02
Quitumbe,134.4,2,4,2,7,1,84715.69
Calderon,107.0,1,4,3,2,1,69900.17
La Carolina,108.8,2,4,2,0,0,178462.31
Calderon,202.0,2,3,2,2,1,144410.87
Carapungo,77.6,2,4,2,6,1,40476.18
Conocoto,113.9,1,2,2,9,1,91705.69
Quitumbe,202.0,2,3,4,5,1,136173.67
Centro Norte,210.0,3,3,2,33,0,272004.62
Quitumbe,142.4,2,4,3,18,1,95598.66
Centro Historico,192.3,1,3,3,3,1,168250.88
Conocoto,206.1,1,3,1,0,1,159916.71
La Carolina,172.2,3,2,1,18,1,254557.28
Conocoto,95.5,1,5,3,9,1,90255.45
La Carolina,220.0,1,3,3,5,1,356191.69
Cumbaya,178.3,3,3,1,5,1,322675.88
Centro Historico,158.2,2,3,1,8,0,124111.73
Centro Norte,193.0,2,2,3,8,0,245138.07
Centro Historico,205.8,1,1,3,31,1,167628.74
Conocoto,45.0,1,2,2,0,1,40973.67
Centro Historico,144.2,2,2,3,6,1,105842.19
Centro Historico,210.3,1,3,2,0,0,162648.1
Conocoto,123.9,2,2,2,5,1,90628.86
Cumbaya,148.5,3,2,1,1,1,311144.97
Tumbaco,131.2,2,5,3,6,1,161973.02
Cumbaya,210.4,1,2,2,8,1,319959.09
Cumbaya,109.5,1,3,3,15,1,153820.8
Calderon,126.7,1,4,2,3,1,83275.03
Gonzalez Suarez,45.0,2,3,2,1,1,77375.03
Carapungo,103.3,2,3,3,2,1,76012.38
Carapungo,98.1,3,3,3,8,1,60107.82
Conocoto,171.1,1,5,2,5,1,155275.14
Cumbaya,161.2,1,3,3,5,1,276396.91
La Carolina,125.5,2,2,3,14,1,187781.21
Carapungo,113.1,1,5,1,1,1,65300.43
Centro Norte,74.8,1,5,2,14,1,113550.26
Cumbaya,168.8,2,2,3,19,1,303401.52
Conocoto,122.0,2,3,1,0,1,99695.63
Quitumbe,100.8,1,1,2,17,0,58371.06
Quitumbe,131.9,1,2,2,0,1,110350.32
Tumbaco,155.8,1,2,2,14,0,151873.45
Conocoto,95.6,1,2,1,4,1,89889.27
Tumbaco,162.6,1,2,1,0,1,160468.66
Centro Norte,212.7,3,4,4,2,1,274888.98
La Carolina,61.6,1,3,1,22,1,74642.8
Tumbaco,115.0,2,3,4,1,1,139939.34
Quitumbe,141.0,3,3,3,23,0,97553.11
Gonzalez Suarez,123.2,2,2,3,2,1,250875.46
Calderon,237.4,2,4,2,6,0,147741.89
Quitumbe,70.4,1,3,3,24,1,44096.66
Conocoto,114.3,3,3,4,4,1,123768.31
Centro Norte,119.0,2,4,3,1,1,172440.07
La Carolina,122.1,1,3,2,18,1,184458.64
Tumbaco,217.6,2,3,1,34,1,244997.87
Carapungo,112.9,1,3,1,4,1,83600.94
Carapungo,150.7,1,3,2,0,1,98224.88
Carapungo,217.7,3,3,2,1,1,141794.78
Tumbaco,169.0,2,2,4,22,1,175059.05
Gonzalez Suarez,267.0,2,3,2,4,1,557032.52
Centro Norte,117.5,2,3,3,6,1,193522.42
Conocoto,110.5,1,2,1,1,1,103761.85
Gonzalez Suarez,103.0,2,3,3,0,1,225390.62
Carapungo,145.5,1,3,1,0,1,70795.4
Cumbaya,107.5,2,3,2,0,1,147183.9
Centro Historico,190.7,3,3,2,12,0,165082.05
Centro Norte,127.2,3,3,1,2,1,159298.21
Cumbaya,177.1,3,2,3,3,1,285966.84
Calderon,149.5,1,5,2,3,1,119006.45
Carapungo,116.9,2,3,1,6,1,50858.93
Cumbaya,104.9,2,2,4,7,1,169152.47
Gonzalez Suarez,191.1,1,1,3,3,1,392354.79
La Carolina,120.4,3,3,4,32,1,212550.19
Centro Norte,45.0,2,5,4,3,1,62344.6
Cumbaya,188.9,1,5,1,12,1,255396.01
Conocoto,128.6,3,3,3,2,1,137295.17
Tumbaco,163.6,1,3,1,4,0,200654.45
La Carolina,222.5,3,2,2,8,0,326458.77
Carapungo,134.9,3,2,2,7,1,77167.88
Gonzalez Suarez,174.3,2,4,1,2,1,257134.12
La Carolina,227.4,3,3,2,2,1,374841.2
La Carolina,155.1,1,4,2,5,1,226283.79
Cumbaya,114.4,1,3,3,0,1,231129.97
Centro Historico,136.0,1,2,3,0,1,117809.53
Quitumbe,180.1,2,3,3,0,1,146765.42
Tumbaco,110.5,1,4,3,2,1,97307.52
Conocoto,145.5,2,4,2,33,1,104588.55
Conocoto,169.6,2,3,3,14,0,107525.74
Gonzalez Suarez,100.1,2,5,1,1,1,152561.73
Gonzalez Suarez,84.4,2,3,2,9,0,140064.12
Quitumbe,133.9,1,3,4,3,1,103879.63
Cumbaya,159.4,1,2,3,7,1,262253.73
Tumbaco,161.7,3,4,2,2,1,175057.87
Tumbaco,256.0,1,3,4,0,1,314494.19
Centro Historico,152.3,1,4,2,2,1,153088.18
Centro Norte,45.0,2,3,2,17,1,65549.24
Quitumbe,202.1,1,2,3,13,1,103531.73
Centro Historico,147.5,3,1,2,27,1,91292.41
Gonzalez Suarez,101.3,2,2,2,14,0,144548.78
Conocoto,100.8,1,3,2,0,1,108007.73
Gonzalez Suarez,120.0,3,1,3,15,1,169100.42
La Carolina,99.4,1,5,2,13,1,128316.94
Gonzalez Suarez,76.8,1,3,2,2,1,128083.86
Cumbaya,118.9,2,3,1,1,0,157833.89
Tumbaco,64.0,3,1,2,11,1,92192.59
Carapungo,122.9,1,2,2,6,1,68690.71
Gonzalez Suarez,115.0,2,3,4,2,0,208193.51
Carapungo,45.0,3,5,2,4,1,35640.43
Tumbaco,179.8,1,4,2,8,1,176215.9
Quitumbe,94.9,1,3,2,7,1,82522.89
Conocoto,290.9,2,4,3,3,1,232541.91
Quitumbe,157.3,2,3,1,5,1,98132.23
Tumbaco,141.2,2,3,2,7,1,162783.05
Gonzalez Suarez,72.1,2,3,3,0,1,140227.96
Tumbaco,106.8,3,3,2,3,1,134392.05
La Carolina,93.5,2,2,2,10,0,96547.31
Conocoto,73.6,1,5,3,11,1,70101.02
Centro Historico,141.6,3,2,3,5,1,120395.3
Cumbaya,103.8,2,5,1,5,1,168370.17
Quitumbe,147.2,2,2,2,0,1,67194.7
Quitumbe,120.2,1,2,2,9,0,72022.75
Centro Historico,125.9,2,3,3,2,1,118901.52
La Carolina,181.4,2,3,2,10,0,280900.51
Cumbaya,136.6,2,2,2,1,1,250478.32
Cumbaya,167.2,3,2,3,2,0,232163.79
Quitumbe,79.0,2,2,1,4,1,52442.93
Cumbaya,177.0,2,3,2,1,1,372494.93
Carapungo,163.7,1,5,2,1,0,105307.81
La Carolina,119.1,1,3,2,1,0,161871.24
Gonzalez Suarez,198.7,3,4,2,10,1,441735.7
Gonzalez Suarez,236.2,1,3,2,1,1,490989.71
Gonzalez Suarez,157.0,3,5,3,6,0,281096.88
Tumbaco,91.3,2,1,2,6,1,85063.86
Cumbaya,219.7,3,4,4,2,0,386131.49
Tumbaco,102.6,1,3,3,0,1,130376.56
Cumbaya,220.1,2,3,1,13,1,427173.02
Conocoto,208.5,1,5,4,6,1,231859.3
Conocoto,87.7,2,3,2,22,1,70159.8
La Carolina,150.7,2,5,3,12,1,211098.72
Quitumbe,49.5,1,3,3,23,1,37217.59
Centro Norte,167.4,1,5,2,3,0,197821.5
Carapungo,115.0,2,3,2,8,1,80815.02
Conocoto,136.0,1,3,4,10,1,110669.41
La Carolina,153.4,2,3,2,14,1,264293.52
Centro Historico,143.6,2,2,1,7,1,97067.64
Conocoto,95.6,2,2,1,36,1,58847.38
La Carolina,116.1,1,4,4,36,1,196359.82
La Carolina,153.6,2,2,4,2,1,256342.57
Conocoto,182.0,1,5,2,8,1,211580.28
Calderon,163.0,1,4,2,14,1,108700.32
Cumbaya,163.4,1,3,2,13,1,295770.13
Calderon,114.6,1,1,2,4,1,85105.44
Cumbaya,176.0,2,2,1,13,1,211179.22
Conocoto,145.0,3,1,4,5,1,157971.98
Cumbaya,113.2,1,2,3,12,1,154359.17
Conocoto,230.2,2,3,2,10,0,176301.22
Cumbaya,140.4,2,1,3,2,1,249615.73
Conocoto,132.8,1,2,2,9,1,159557.23
Centro Norte,143.9,2,4,2,3,0,174668.21
Conocoto,189.8,2,5,1,0,0,189531.64
Centro Historico,124.1,1,3,3,17,1,113940.57
Carapungo,74.5,2,4,2,2,1,59351.38
Cumbaya,79.0,2,2,4,2,1,120035.22
Quitumbe,106.2,2,1,2,10,1,68103.83
Quitumbe,87.4,2,3,3,11,1,69594.13
Centro Historico,120.3,1,4,1,11,1,106210.03
Tumbaco,95.4,2,2,3,0,1,125048.06
Cumbaya,100.7,2,3,3,2,1,197188.25
Tumbaco,82.7,3,3,2,0,1,100483.07
Cumbaya,121.2,2,3,2,1,0,214796.88
Centro Norte,157.4,1,5,3,6,1,190218.29
Gonzalez Suarez,113.7,1,5,2,28,1,197972.17
Tumbaco,190.6,1,3,2,11,1,192074.36
Quitumbe,223.5,2,3,3,14,1,148700.45
Centro Norte,162.5,2,3,2,5,1,242626.83
La Carolina,187.0,3,3,2,16,1,258410.52
Tumbaco,135.2,1,5,3,1,1,177573.29
Tumbaco,197.6,1,3,1,15,1,182093.12
Quitumbe,155.1,1,3,1,8,1,107831.8
Quitumbe,159.9,2,2,2,4,0,125751.1
Centro Historico,185.6,1,3,2,3,1,192484.05
La Carolina,131.7,1,2,2,1,1,230983.24
Conocoto,143.9,2,5,3,23,1,105282.74
Calderon,215.1,3,4,2,8,1,110009.92
Gonzalez Suarez,136.9,1,3,3,2,1,245812.66
Centro Historico,114.2,1,4,4,4,1,88265.12
Centro Norte,136.8,2,1,1,14,1,159810.74
Tumbaco,177.2,2,2,1,8,1,222535.03
Conocoto,93.2,2,2,3,2,1,77374.25
Centro Historico,168.8,2,4,2,33,1,100930.74
Carapungo,192.5,2,4,4,27,1,109462.19
Quitumbe,144.0,2,2,4,4,0,109894.9
Quitumbe,168.5,2,4,1,5,1,117592.6
Conocoto,93.8,1,3,2,25,1,68974.99
Centro Historico,45.0,2,3,1,1,1,39361.7
La Carolina,83.3,3,4,3,2,1,150144.68
Centro Historico,173.4,1,3,2,0,0,173930.9
Gonzalez Suarez,157.0,2,4,2,2,1,289244.07
La Carolina,223.1,1,3,3,9,1,297374.3
Calderon,127.3,1,4,3,5,1,86440.51
Carapungo,144.4,1,3,2,3,1,103119.69
Carapungo,188.0,2,3,2,19,1,127404.34
Conocoto,124.9,1,4,1,7,1,133293.12
Carapungo,116.7,2,4,2,13,0,61410.33
Cumbaya,122.0,2,4,3,3,1,271054.35
Cumbaya,109.4,2,2,2,6,1,223977.96
Calderon,140.3,2,3,3,15,0,110100.42
Centro Historico,63.6,3,3,2,0,1,56824.85
Tumbaco,190.6,3,3,2,1,1,233781.81
Tumbaco,238.9,2,4,1,3,1,280798.41
Centro Norte,148.3,2,4,3,1,1,204847.31
Tumbaco,87.1,2,2,4,15,1,105128.66
Centro Historico,138.2,1,3,3,5,1,112823.7
Calderon,45.0,2,1,3,5,1,30893.32
Centro Historico,183.7,2,4,2,3,1,182888.43
Conocoto,190.8,1,3,1,7,1,163957.57
Quitumbe,126.5,1,4,2,22,1,89214.87
La Carolina,74.3,1,4,2,1,0,104704.28
Centro Norte,142.1,3,1,2,14,1,199184.01
Calderon,86.8,2,3,2,10,1,42125.21
Centro Norte,176.9,2,3,2,2,1,254223.11
Cumbaya,99.6,1,4,1,2,1,176618.21
Centro Norte,103.6,2,3,4,6,0,131080.4
Calderon,141.8,1,2,4,7,1,72732.5
Gonzalez Suarez,160.8,2,3,3,6,1,291070.79
Conocoto,167.3,1,2,4,5,1,124223.41
Calderon,97.0,2,2,2,15,1,66170.9
Tumbaco,157.7,1,5,4,38,1,144425.36
Tumbaco,94.6,1,3,2,1,1,106704.06
Centro Norte,77.1,1,4,1,1,0,111160.26
Conocoto,179.4,3,3,3,5,1,176557.64
Conocoto,89.1,2,1,2,8,0,83045.0
La Carolina,141.6,2,3,3,1,0,239465.09
Centro Norte,195.7,2,4,2,5,1,347356.96
Calderon,143.3,2,3,4,7,1,94537.59
Centro Historico,135.3,1,2,4,18,1,120779.11
Calderon,213.3,2,3,1,10,1,121098.85
Conocoto,209.3,2,3,2,13,1,191855.49
Calderon,174.7,2,3,2,2,1,113620.08
La Carolina,135.7,1,4,1,1,1,212274.74
La Carolina,91.3,1,3,3,4,1,141112.27
La Carolina,134.4,2,3,1,1,1,217415.82
Tumbaco,184.0,1,4,3,13,1,182572.99
Cumbaya,80.5,1,2,2,4,1,103069.72
Tumbaco,148.5,1,2,1,5,1,144415.89
Gonzalez Suarez,109.3,2,1,2,15,0,187600.97
Calderon,109.4,2,2,3,3,1,65365.6
Calderon,191.9,2,3,2,1,0,137285.58
Tumbaco,162.4,3,4,3,1,1,241262.2
Carapungo,121.6,2,3,2,11,1,65958.5
Gonzalez Suarez,156.4,1,4,1,4,1,295841.15
Quitumbe,148.3,2,3,2,8,1,109216.64
La Carolina,116.2,1,1,1,13,1,155751.36
Quitumbe,183.9,1,5,2,36,0,90501.39
Gonzalez Suarez,45.0,1,3,2,23,1,85803.97
Centro Historico,120.6,1,4,3,3,1,86525.26
Centro Historico,55.7,1,1,2,6,1,60207.1
La Carolina,169.2,2,3,3,7,1,305360.15
Gonzalez Suarez,126.3,2,3,1,4,1,244757.37
Gonzalez Suarez,45.0,2,3,3,6,1,82969.63
Carapungo,145.3,2,3,4,2,1,100870.21
Conocoto,50.1,3,3,2,3,1,40388.64
Conocoto,127.3,2,3,2,18,1,119196.28
Tumbaco,67.4,1,5,4,6,1,83336.5
Carapungo,83.8,3,2,2,0,1,47087.37
Cumbaya,145.9,3,1,2,4,1,274247.07
La Carolina,150.1,2,2,4,12,1,191835.67
Centro Historico,187.3,1,3,3,1,0,149536.05
Centro Historico,141.9,1,4,2,14,1,121862.08
La Carolina,148.9,2,2,2,1,1,208740.48
Calderon,149.4,1,5,3,7,0,83362.12
Centro Norte,136.1,3,2,1,1,1,165056.56
Conocoto,94.0,1,3,4,4,1,77791.71
Centro Norte,68.1,1,3,2,6,1,72530.21
Cumbaya,190.0,2,5,1,0,1,406903.0
Carapungo,161.9,3,3,1,12,0,110237.84
Gonzalez Suarez,242.3,1,3,2,18,1,416010.38
Quitumbe,211.8,1,3,1,22,1,143489.08
Cumbaya,136.4,1,3,2,1,1,280814.53
Centro Historico,115.6,2,5,2,1,0,88575.93
Gonzalez Suarez,235.4,1,3,2,3,1,491515.17
La Carolina,109.3,1,2,3,0,1,136832.97
La Carolina,121.7,2,3,4,0,1,176909.62
Cumbaya,199.1,2,3,3,2,1,264898.44
Cumbaya,149.3,2,3,2,2,1,238787.02
Conocoto,133.1,2,1,1,1,1,126450.78
Quitumbe,159.3,2,2,2,4,1,102055.87
Cumbaya,149.5,2,3,1,12,1,250329.39
La Carolina,163.6,2,1,2,0,0,218145.35
Calderon,109.6,2,2,3,12,0,74976.0
Quitumbe,166.8,1,3,2,3,1,118538.53
Centro Norte,113.5,2,2,2,1,1,124059.68
Carapungo,158.6,2,3,2,3,1,109810.12
Centro Historico,45.0,1,3,2,30,1,35308.44
Tumbaco,116.2,2,1,2,7,1,172035.11
Centro Norte,117.1,2,3,1,25,0,162967.9
Centro Norte,215.0,2,4,1,14,1,311189.29
Calderon,147.8,2,2,3,4,1,116148.87
Gonzalez Suarez,143.1,1,4,4,4,0,225437.37
Centro Historico,71.8,1,3,2,11,1,55045.41
Cumbaya,119.6,1,3,3,14,1,196222.23
Quitumbe,216.4,2,3,3,1,0,164664.03
Centro Norte,183.4,2,5,2,1,0,213717.72
Gonzalez Suarez,109.9,2,2,2,4,1,192599.4
Centro Norte,173.4,2,4,2,9,1,302900.12
Centro Historico,159.8,2,3,3,11,1,155027.32
Conocoto,45.0,3,1,4,6,1,34164.91
Gonzalez Suarez,140.1,1,3,1,3,1,239194.32
Centro Norte,77.6,1,1,2,1,1,97877.67
Conocoto,169.8,2,4,2,18,1,169459.26
Cumbaya,50.0,1,2,3,6,1,82339.57
Centro Norte,147.9,2,4,4,3,0,176180.78
Quitumbe,147.2,3,3,3,10,0,87532.3
Carapungo,137.3,2,5,1,16,1,79847.98
Quitumbe,93.4,2,4,2,0,0,67431.08
Centro Historico,155.2,2,3,3,3,1,168529.15
Centro Norte,129.4,2,3,4,12,1,189077.7
Tumbaco,156.8,2,4,1,1,0,155090.61
Calderon,124.4,2,2,2,17,1,63534.03
Centro Norte,149.5,1,2,2,0,1,153812.27
Centro Norte,256.7,1,3,2,0,1,304497.31
Tumbaco,130.3,2,3,2,0,0,172716.45
Gonzalez Suarez,148.5,1,1,1,5,0,278916.86
Carapungo,73.7,1,3,3,11,1,45478.26
Gonzalez Suarez,131.1,1,4,1,22,1,187359.41
Centro Historico,138.8,2,4,1,3,0,108705.86
Gonzalez Suarez,90.8,2,3,2,12,1,175490.48
Gonzalez Suarez,196.3,2,3,1,2,1,367340.35
Gonzalez Suarez,223.7,1,4,2,11,1,414617.51
Quitumbe,153.2,2,4,4,23,0,90846.18
Calderon,141.8,1,5,3,6,1,84189.59
La Carolina,84.3,2,4,2,3,1,174410.1
Centro Historico,141.6,2,2,2,20,1,100411.9
Cumbaya,164.3,3,4,1,3,1,304530.55
La Carolina,105.8,3,5,2,1,1,166216.76
La Carolina,182.1,1,3,2,4,1,263089.03
Centro Historico,176.0,2,3,3,27,1,128047.51
Quitumbe,139.1,2,3,4,4,0,92497.75
Gonzalez Suarez,132.0,2,2,3,4,1,275223.57
Tumbaco,201.9,2,3,3,2,0,247327.83
Carapungo,188.6,3,3,2,2,1,122307.97
Carapungo,119.8,1,5,2,9,1,91730.16
Centro Historico,106.6,2,3,1,2,1,89306.68
Cumbaya,159.4,3,4,3,20,0,254953.32
Quitumbe,112.1,3,2,1,1,0,72800.14
Cumbaya,145.6,2,3,1,36,0,223344.78
Centro Historico,63.9,1,2,3,19,1,46396.5
Centro Historico,148.1,2,3,2,17,1,129890.72
Calderon,106.4,2,4,2,0,0,79196.37
Centro Norte,216.3,2,3,3,17,0,259145.19
Centro Norte,123.3,2,3,1,9,1,137792.4
Quitumbe,252.9,3,5,1,5,1,153439.77
Calderon,152.1,2,3,2,1,1,95654.06
Quitumbe,209.4,2,4,1,3,1,148855.92
Carapungo,62.2,1,2,2,11,1,32659.47
Centro Norte,250.5,2,3,4,11,1,300141.93
Tumbaco,191.6,2,3,2,13,0,247277.44
Cumbaya,92.2,1,2,3,2,1,158637.36
La Carolina,174.4,1,3,3,9,1,277726.89
Cumbaya,184.2,3,2,3,6,1,382861.12
Cumbaya,118.8,1,4,2,2,0,217519.27
Carapungo,54.0,3,3,3,2,0,31695.6
Cumbaya,165.5,3,3,2,15,1,282402.35
Gonzalez Suarez,209.5,1,4,2,22,0,325339.03
Centro Historico,247.9,2,2,2,8,1,194519.79
Cumbaya,60.8,1,4,2,9,0,98805.42
Carapungo,60.7,2,3,1,1,0,35117.88
Tumbaco,200.0,2,2,3,1,1,243638.75
Calderon,53.8,2,3,2,15,0,42877.24
Conocoto,185.3,2,3,3,0,0,147952.21
Conocoto,75.7,2,1,3,7,1,61254.8
Tumbaco,152.8,1,3,2,10,0,207363.38
Centro Norte,173.8,1,5,3,0,0,175381.96
Cumbaya,162.6,1,5,2,3,1,317193.2
Tumbaco,88.8,1,5,3,2,1,103564.78
Carapungo,208.1,3,1,2,0,1,126754.7
Calderon,223.4,2,3,1,2,1,182890.09
La Carolina,203.5,1,3,3,9,1,362210.37
Tumbaco,193.0,1,3,3,8,0,156529.4
Calderon,110.2,3,2,4,13,1,66510.57
Centro Historico,105.4,2,2,2,16,1,70110.9
Quitumbe,133.2,3,3,1,33,1,100382.8
Tumbaco,129.6,1,3,2,4,1,179150.68
Centro Historico,199.0,1,2,2,2,1,146221.87
Quitumbe,114.3,2,4,1,9,1,72177.98
Carapungo,191.8,1,3,2,3,0,107981.93
Quitumbe,132.1,2,5,1,6,0,106163.44
Cumbaya,201.4,2,3,2,0,1,319364.94
Tumbaco,159.5,2,3,2,0,0,216246.45
Centro Historico,166.7,3,3,2,13,1,135034.79
Calderon,93.4,1,2,3,5,1,68557.65
Tumbaco,99.6,2,3,2,2,1,117080.61
Calderon,223.2,1,3,3,2,1,131185.04
Cumbaya,60.7,2,4,3,3,1,80438.57
Conocoto,183.4,2,3,4,5,1,127245.4
La Carolina,134.8,2,3,2,6,1,168146.01
Centro Norte,198.1,2,2,2,11,1,250439.38
Centro Norte,165.6,2,3,2,5,1,184561.16
La Carolina,219.0,2,5,2,7,1,394170.99
Tumbaco,66.9,2,4,2,2,0,88843.62
Tumbaco,198.9,3,5,2,3,1,280326.73
Conocoto,150.0,2,4,3,5,1,147268.22
Quitumbe,141.0,1,2,1,7,1,117352.61
Calderon,232.0,3,4,2,11,1,168223.33
Tumbaco,103.0,1,4,1,3,1,127398.63
Quitumbe,115.3,2,4,2,5,0,85365.35
La Carolina,165.2,2,2,3,1,1,336766.82
Carapungo,135.2,2,3,3,7,1,73906.76
Calderon,221.7,2,2,4,0,0,162220.07
Conocoto,168.7,2,3,3,5,1,157646.15
Quitumbe,156.6,3,2,1,3,1,126069.8
Carapungo,147.7,2,3,2,21,1,71951.15
Quitumbe,123.3,1,3,1,4,1,71365.33
Tumbaco,99.2,2,2,2,4,1,136795.39
Carapungo,205.7,2,3,2,3,1,117141.45
Calderon,171.7,2,2,4,1,1,113424.67
Quitumbe,104.9,2,3,3,1,0,77509.86
Calderon,45.0,2,2,2,5,1,31048.53
Gonzalez Suarez,84.0,2,4,2,3,1,183757.37
Cumbaya,86.6,3,3,2,2,1,150660.19
Carapungo,150.2,2,3,3,9,1,82713.36
Gonzalez Suarez,181.4,3,3,1,5,1,290133.24
Tumbaco,102.5,1,4,2,8,1,117257.5
Conocoto,157.9,1,3,2,6,1,120961.56
Cumbaya,84.6,1,3,1,9,1,127895.54
Conocoto,226.5,2,3,3,36,1,193382.07
Conocoto,141.8,3,3,2,1,1,121419.02
Centro Historico,174.1,2,3,3,10,1,172428.29
Calderon,233.9,2,5,2,1,0,179233.88
La Carolina,135.4,2,3,1,5,1,231398.13
Centro Norte,156.7,2,3,3,29,1,184919.73
Calderon,183.2,2,3,2,12,1,103296.09
Quitumbe,127.1,2,1,4,1,1,95049.4
Cumbaya,203.2,2,2,2,23,1,338432.03
Centro Historico,170.7,1,3,1,7,0,152763.12
